date,open,high,low,close,pct
1986-09-09,146.55,147.32,145.41,145.76,-0.54
1986-09-10,145.76,145.76,144.57,144.74,-0.7
1986-09-11,144.74,144.74,138.46,138.46,-4.34
1986-09-12,138.46,138.62,134.85,135.04,-2.47
1986-09-15,135.04,135.96,134.09,134.94,-0.07
1986-09-16,134.94,135.25,133.28,135.21,0.2
1986-09-17,135.21,136.99,135.06,136.39,0.87
1986-09-18,136.39,138.57,136.29,138.14,1.28
1986-09-19,138.14,138.5,137.03,138.46,0.23
1986-09-22,138.52,140.29,138.35,140.12,1.2
1986-09-23,140.12,141.06,139.05,139.57,-0.4
1986-09-24,139.57,140.07,138.67,139.24,-0.24
1986-09-25,137.62,137.62,137.62,137.62,-1.16
1986-09-26,137.62,138.12,136.49,137.59,-0.02
1986-09-29,137.59,137.59,134.82,135.54,-1.49
1986-09-30,135.54,137.84,135.54,137.5,1.45
1986-10-01,137.52,139.01,137.52,138.26,0.56
1986-10-02,138.26,138.43,137.41,138.22,-0.03
1986-10-03,138.22,139.37,137.66,138.56,0.24
1986-10-06,138.66,139.19,138.39,139.12,0.4
1986-10-07,139.12,139.25,137.91,138.26,-0.62
1986-10-08,138.26,139.33,137.54,139.26,0.73
1986-10-09,139.25,140.15,139.03,139.17,-0.07
1986-10-10,139.17,140.22,138.76,139.87,0.51
1986-10-13,139.87,140.72,139.63,140.68,0.58
1986-10-14,140.68,141.6,140.66,140.97,0.21
1986-10-15,140.97,142.22,140.76,142.1,0.81
1986-10-16,142.1,142.48,141.76,141.9,-0.14
1986-10-17,141.89,142.1,140.91,141.2,-0.5
1986-10-20,141.2,141.23,139.49,140.1,-0.78
1986-10-21,140.1,140.47,139.38,139.93,-0.12
1986-10-22,139.93,140.59,139.9,140.3,0.27
1986-10-23,140.3,142.4,140.23,142.15,1.32
1986-10-24,142.15,142.75,141.65,141.97,-0.13
1986-10-27,141.97,142.26,141.26,141.76,-0.14
1986-10-28,141.76,142.91,141.69,142.5,0.52
1986-10-29,142.5,143.28,142.12,143.13,0.45
1986-10-30,143.13,145.18,143.13,144.78,1.15
1986-10-31,144.78,145.18,143.79,144.48,-0.21
1986-11-03,144.48,144.97,144.12,144.81,0.23
1986-11-04,144.81,146.06,144.54,145.97,0.8
1986-11-05,145.97,146.69,145.51,146.18,0.15
1986-11-06,146.19,146.23,144.64,145.41,-0.53
1986-11-07,145.41,145.41,144.4,144.91,-0.34
1986-11-10,144.91,145.05,143.7,144.29,-0.42
1986-11-11,144.29,145.45,144.29,145.35,0.73
1986-11-12,145.35,145.92,145.02,145.58,0.16
1986-11-13,145.58,145.69,143.41,143.42,-1.49
1986-11-14,143.42,143.78,142.86,143.51,0.06
1986-11-17,143.51,144.02,142.14,143.2,-0.22
1986-11-18,143.2,143.68,140.63,140.66,-1.77
1986-11-19,140.66,140.66,138.96,139.54,-0.79
1986-11-20,139.54,141.44,139.54,141.31,1.26
1986-11-21,141.31,143.05,141.31,142.9,1.13
1986-11-24,142.9,144.64,142.77,144.5,1.12
1986-11-25,144.5,145.77,144.35,145.77,0.88
1986-11-26,145.77,146.95,145.59,146.87,0.75
1986-11-28,146.87,147.96,146.87,147.94,0.73
1986-12-01,147.94,147.94,145.63,146.85,-0.73
1986-12-02,146.85,148.99,146.85,148.87,1.37
1986-12-03,148.87,150.72,148.87,150.08,0.82
1986-12-04,150.09,150.85,149.84,149.98,-0.07
1986-12-05,149.98,150.38,148.7,149.04,-0.62
1986-12-08,149.04,149.04,146.85,147.85,-0.81
1986-12-09,147.85,147.85,146.82,146.87,-0.66
1986-12-10,146.87,147.32,146.4,146.96,0.06
1986-12-11,146.96,147.4,145.63,146.08,-0.6
1986-12-12,146.07,146.07,144.75,144.98,-0.75
1986-12-15,144.98,144.98,142.85,144.07,-0.62
1986-12-16,144.07,144.6,143.61,144.49,0.29
1986-12-17,144.49,144.5,142.92,143.04,-1.0
1986-12-18,143.04,143.49,142.54,142.85,-0.13
1986-12-19,142.85,144.07,142.82,143.77,0.64
1986-12-22,143.77,144.39,143.24,144.09,0.22
1986-12-23,144.09,144.25,142.4,142.81,-0.89
1986-12-24,142.81,143.16,142.32,142.79,-0.01
1986-12-26,142.79,143.08,142.5,142.94,0.1
1986-12-29,142.94,143.04,141.38,141.51,-0.99
1986-12-30,141.51,141.79,140.95,141.53,0.01
1986-12-31,141.53,142.13,141.04,141.41,-0.08
1987-01-02,141.41,143.01,141.41,142.86,1.03
1987-01-05,142.86,147.64,142.86,147.41,3.18
1987-01-06,147.41,149.08,147.41,149.06,1.12
1987-01-07,149.06,153.09,149.06,152.98,2.63
1987-01-08,152.98,155.7,152.98,155.69,1.77
1987-01-09,155.69,157.39,155.11,156.99,0.83
1987-01-12,156.99,159.43,156.6,159.31,1.47
1987-01-13,159.31,159.85,158.38,159.62,0.2
1987-01-14,159.62,162.67,159.62,162.66,1.9
1987-01-15,162.66,165.05,162.66,164.15,0.91
1987-01-16,164.15,164.17,161.64,162.51,-0.99
1987-01-19,162.51,166.46,161.72,166.46,2.42
1987-01-20,166.46,168.35,166.02,166.52,0.04
1987-01-21,166.52,166.52,164.14,164.26,-1.36
1987-01-22,164.26,168.01,163.45,167.95,2.24
1987-01-23,167.95,170.28,166.63,166.77,-0.7
1987-01-26,166.77,166.77,163.88,164.14,-1.57
1987-01-27,164.14,167.33,164.08,166.66,1.53
1987-01-28,166.66,167.77,165.99,167.63,0.58
1987-01-29,167.63,168.88,165.11,165.74,-1.12
1987-01-30,165.71,166.78,164.34,166.68,0.56
1987-02-02,166.71,170.32,166.58,170.31,2.18
1987-02-03,170.31,171.73,170.31,171.56,0.73
1987-02-04,171.56,173.68,170.69,173.5,1.13
1987-02-05,173.5,175.43,173.46,174.64,0.65
1987-02-06,174.34,175.49,174.34,174.63,0.0
1987-02-09,173.23,174.63,173.23,173.63,-0.58
1987-02-10,173.63,173.74,171.24,172.33,-0.75
1987-02-11,172.33,176.13,172.33,175.98,2.12
1987-02-12,175.99,177.05,175.76,176.27,0.16
1987-02-13,176.27,179.31,175.76,179.07,1.59
1987-02-17,179.07,183.68,179.07,183.65,2.56
1987-02-18,183.65,184.73,180.41,181.21,-1.33
1987-02-19,181.21,181.38,178.9,179.87,-0.74
1987-02-20,179.87,179.91,178.0,178.69,-0.66
1987-02-23,178.69,178.74,175.18,177.71,-0.55
1987-02-24,177.71,179.29,176.99,178.94,0.69
1987-02-25,178.94,181.06,178.92,180.97,1.13
1987-02-26,180.97,183.36,180.6,182.19,0.67
1987-02-27,182.19,182.92,181.58,182.75,0.31
1987-03-02,182.75,183.39,180.99,181.07,-0.92
1987-03-03,181.07,181.67,179.87,180.57,-0.28
1987-03-04,180.57,183.55,180.56,183.28,1.5
1987-03-05,183.28,185.75,183.28,184.67,0.76
1987-03-06,184.67,184.8,183.4,184.29,-0.21
1987-03-09,184.29,184.29,181.3,182.48,-0.98
1987-03-10,182.48,184.77,182.31,184.47,1.09
1987-03-11,184.47,186.43,184.47,185.31,0.46
1987-03-12,185.31,185.33,184.12,184.77,-0.29
1987-03-13,184.77,185.45,182.9,183.17,-0.87
1987-03-16,183.17,183.17,181.42,182.73,-0.24
1987-03-17,182.73,185.9,182.73,185.9,1.73
1987-03-18,185.9,187.98,185.14,186.05,0.08
1987-03-19,186.05,188.11,185.87,187.96,1.03
1987-03-20,187.96,190.43,187.96,189.83,0.99
1987-03-23,189.83,190.37,188.56,189.4,-0.22
1987-03-24,189.4,190.33,188.49,190.18,0.41
1987-03-25,190.18,190.53,188.9,190.2,0.01
1987-03-26,190.2,191.37,190.2,190.71,0.27
1987-03-27,190.71,191.75,188.88,189.05,-0.87
1987-03-30,189.05,189.05,183.27,183.84,-2.76
1987-03-31,183.84,186.26,183.81,186.04,1.2
1987-04-01,186.04,186.1,182.58,186.08,0.02
1987-04-02,186.08,188.04,186.08,187.66,0.85
1987-04-03,179.82,191.43,179.82,191.36,1.97
1987-04-06,191.36,192.46,189.67,190.92,-0.23
1987-04-07,190.92,190.96,187.44,187.44,-1.82
1987-04-08,187.44,189.97,187.44,189.28,0.98
1987-04-09,189.28,189.51,187.18,188.73,-0.29
1987-04-10,188.73,189.05,187.74,188.29,-0.24
1987-04-13,188.29,188.29,183.9,183.95,-2.31
1987-04-14,183.95,183.95,179.03,179.73,-2.29
1987-04-15,179.73,182.46,179.73,182.46,1.52
1987-04-16,182.46,185.07,182.46,183.75,0.7
1987-04-20,183.75,184.38,181.68,182.13,-0.88
1987-04-21,182.13,184.76,180.18,184.64,1.38
1987-04-22,184.64,185.69,183.96,183.96,-0.37
1987-04-23,183.96,185.08,182.97,183.77,-0.1
1987-04-24,183.77,183.77,180.28,180.38,-1.85
1987-04-27,180.38,180.38,177.51,179.55,-0.46
1987-04-28,179.55,182.05,179.55,181.27,0.96
1987-04-29,181.27,183.72,181.27,182.22,0.53
1987-04-30,182.22,185.88,182.22,184.83,1.43
1987-05-01,184.83,186.17,184.29,185.83,0.54
1987-05-04,185.83,186.74,185.01,186.45,0.33
1987-05-05,186.45,189.99,186.45,189.74,1.76
1987-05-06,189.74,190.51,188.69,189.3,-0.23
1987-05-07,189.3,190.59,189.3,190.02,0.38
1987-05-08,190.02,191.42,189.53,190.36,0.18
1987-05-11,190.36,191.7,189.24,189.24,-0.59
1987-05-12,189.24,189.35,187.47,188.98,-0.14
1987-05-13,188.98,190.47,188.98,190.3,0.7
1987-05-14,190.3,191.17,190.21,190.74,0.23
1987-05-15,190.74,190.74,187.91,187.91,-1.48
1987-05-18,187.91,188.12,183.33,185.46,-1.31
1987-05-19,185.46,185.93,181.0,181.47,-2.15
1987-05-20,181.47,182.72,179.74,181.7,0.13
1987-05-21,181.7,183.57,181.7,182.66,0.53
1987-05-22,182.66,183.54,181.27,181.64,-0.56
1987-05-26,181.64,185.19,181.64,185.17,1.94
1987-05-27,185.17,186.51,185.07,185.96,0.42
1987-05-28,185.96,188.21,185.86,188.11,1.16
1987-05-29,188.11,189.83,188.11,188.77,0.35
1987-06-01,188.77,189.16,185.54,185.86,-1.54
1987-06-02,185.86,186.19,184.44,184.5,-0.73
1987-06-03,184.5,186.4,184.5,185.76,0.68
1987-06-04,185.76,186.47,185.21,186.26,0.27
1987-06-05,186.26,186.86,185.5,185.69,-0.31
1987-06-08,185.69,187.66,185.02,187.54,1.0
1987-06-09,187.54,189.62,187.54,189.48,1.03
1987-06-10,189.48,191.84,189.35,190.02,0.29
1987-06-11,190.02,190.73,188.85,189.67,-0.19
1987-06-12,189.67,191.26,189.67,190.36,0.37
1987-06-15,190.36,191.05,189.28,189.6,-0.4
1987-06-16,189.6,191.3,188.64,191.14,0.81
1987-06-17,191.14,192.15,190.75,191.32,0.09
1987-06-18,191.32,192.78,190.15,192.37,0.55
1987-06-19,192.37,193.2,191.3,192.05,-0.17
1987-06-22,192.05,193.05,192.0,192.9,0.44
1987-06-23,192.9,193.28,191.08,191.84,-0.55
1987-06-24,191.84,193.36,191.57,191.91,0.03
1987-06-25,191.91,192.87,191.23,191.35,-0.29
1987-06-26,191.35,191.45,189.32,191.06,-0.15
1987-06-29,191.06,191.3,190.38,190.7,-0.19
1987-06-30,190.7,191.1,188.35,189.24,-0.77
1987-07-01,189.24,190.17,188.88,189.48,0.12
1987-07-02,189.54,190.95,189.54,190.39,0.48
1987-07-06,190.39,191.17,188.73,189.03,-0.71
1987-07-07,189.03,189.03,187.41,187.76,-0.67
1987-07-08,187.76,188.38,186.57,187.39,-0.2
1987-07-09,187.39,189.4,187.35,187.98,0.31
1987-07-10,187.98,188.94,187.79,188.74,0.4
1987-07-13,188.74,190.42,188.06,190.42,0.89
1987-07-14,190.42,195.0,190.42,194.99,2.4
1987-07-15,194.99,196.04,193.7,194.87,-0.06
1987-07-16,194.87,196.36,194.83,196.04,0.6
1987-07-17,196.04,197.31,195.31,195.87,-0.09
1987-07-20,195.87,195.87,193.77,193.86,-1.02
1987-07-21,193.86,194.92,192.83,193.2,-0.34
1987-07-22,193.2,193.83,192.57,193.64,0.23
1987-07-23,193.64,193.88,190.46,191.51,-1.1
1987-07-24,191.51,193.12,191.49,193.03,0.79
1987-07-27,193.03,193.37,192.0,193.2,0.09
1987-07-28,193.2,194.24,193.2,193.76,0.29
1987-07-29,193.76,194.85,193.59,194.73,0.5
1987-07-30,194.73,196.75,194.61,196.57,0.94
1987-07-31,196.57,197.12,195.83,196.35,-0.11
1987-08-03,196.35,196.71,194.59,195.24,-0.57
1987-08-04,195.24,195.99,194.1,195.88,0.33
1987-08-05,195.88,198.63,195.88,198.25,1.21
1987-08-06,198.25,201.92,198.05,201.87,1.83
1987-08-07,201.87,204.71,201.87,203.73,0.92
1987-08-10,203.73,206.06,203.1,206.03,1.13
1987-08-11,206.03,208.47,206.03,208.39,1.15
1987-08-12,208.39,208.59,206.8,207.06,-0.64
1987-08-13,207.06,207.61,206.14,206.47,-0.28
1987-08-14,206.47,206.99,205.31,206.47,0.0
1987-08-17,206.47,207.14,205.63,206.83,0.18
1987-08-18,206.83,206.87,203.31,203.9,-1.42
1987-08-19,203.9,205.39,203.35,205.39,0.73
1987-08-20,205.39,208.98,205.37,208.93,1.72
1987-08-21,208.93,210.71,208.89,210.58,0.79
1987-08-24,210.58,210.58,208.78,209.48,-0.52
1987-08-25,209.48,211.56,209.48,210.72,0.59
1987-08-26,210.72,211.91,210.5,211.16,0.21
1987-08-27,211.16,212.17,210.25,210.64,-0.25
