date,open,high,low,close,pct
1986-12-31,243.37,244.03,241.28,242.17,-0.49
1987-01-02,242.17,246.45,242.17,246.45,1.77
1987-01-05,246.45,252.57,246.45,252.19,2.33
1987-01-06,252.2,253.99,252.14,252.78,0.23
1987-01-07,252.78,255.72,252.65,255.33,1.01
1987-01-08,255.36,257.28,254.97,257.28,0.76
1987-01-09,257.26,259.2,256.11,258.73,0.56
1987-01-12,258.72,261.36,257.92,260.3,0.61
1987-01-13,260.3,260.45,259.21,259.95,-0.13
1987-01-14,259.95,262.72,259.62,262.64,1.03
1987-01-15,262.65,266.68,262.64,265.49,1.09
1987-01-16,265.46,267.24,264.31,266.28,0.3
1987-01-19,266.26,269.34,264.0,269.34,1.15
1987-01-20,269.34,271.03,267.65,269.04,-0.11
1987-01-21,269.04,270.87,267.35,267.84,-0.45
1987-01-22,267.84,274.05,267.32,273.91,2.27
1987-01-23,273.91,280.96,268.41,270.1,-1.39
1987-01-26,270.1,270.4,267.73,269.61,-0.18
1987-01-27,269.61,274.31,269.61,273.75,1.54
1987-01-28,273.75,275.71,273.03,275.4,0.6
1987-01-29,275.4,276.85,272.54,274.24,-0.42
1987-01-30,274.24,274.24,271.38,274.08,-0.06
1987-02-02,274.08,277.35,273.16,276.45,0.86
1987-02-03,276.45,277.83,275.84,275.99,-0.17
1987-02-04,275.99,279.65,275.35,279.64,1.32
1987-02-05,279.64,282.26,278.66,281.16,0.54
1987-02-06,281.16,281.79,279.87,280.04,-0.4
1987-02-09,280.04,280.04,277.24,278.16,-0.67
1987-02-10,278.16,278.16,273.49,275.07,-1.11
1987-02-11,275.07,277.71,274.71,277.54,0.9
1987-02-12,277.54,278.04,273.89,275.62,-0.69
1987-02-13,275.62,280.91,275.01,279.7,1.48
1987-02-17,279.7,285.49,279.7,285.49,2.07
1987-02-18,285.49,287.55,282.97,285.42,-0.02
1987-02-19,285.42,286.24,283.84,285.57,0.05
1987-02-20,285.57,285.98,284.31,285.48,-0.03
1987-02-23,285.48,285.5,279.37,282.38,-1.09
1987-02-24,282.38,283.33,281.45,282.88,0.18
1987-02-25,282.88,285.35,282.14,284.0,0.4
1987-02-26,284.0,284.4,280.73,282.96,-0.37
1987-02-27,282.96,284.55,282.77,284.2,0.44
1987-03-02,284.17,284.83,282.3,283.0,-0.42
1987-03-03,283.0,284.19,282.92,284.12,0.4
1987-03-04,284.12,288.62,284.12,288.62,1.58
1987-03-05,288.62,291.24,288.6,290.52,0.66
1987-03-06,290.52,290.67,288.77,290.66,0.05
1987-03-09,290.66,290.66,287.12,288.3,-0.81
1987-03-10,288.3,290.88,287.89,290.86,0.89
1987-03-11,290.87,292.51,289.33,290.31,-0.19
1987-03-12,290.33,291.91,289.66,291.22,0.31
1987-03-13,291.22,291.79,289.88,289.89,-0.46
1987-03-16,289.88,289.89,286.64,288.23,-0.57
1987-03-17,288.09,292.47,287.96,292.47,1.47
1987-03-18,292.49,294.58,290.87,292.78,0.11
1987-03-19,292.73,294.46,292.26,294.08,0.44
1987-03-20,294.08,298.17,294.08,298.17,1.39
1987-03-23,298.16,301.17,297.5,301.16,1.0
1987-03-24,301.17,301.92,300.14,301.64,0.16
1987-03-25,301.52,301.85,299.36,300.38,-0.42
1987-03-26,300.39,302.72,300.38,300.93,0.18
1987-03-27,300.96,301.41,296.06,296.13,-1.6
1987-03-30,296.1,296.13,286.69,289.2,-2.34
1987-03-31,289.21,291.87,289.07,291.7,0.86
1987-04-01,291.59,292.39,288.34,292.39,0.24
1987-04-02,292.41,294.47,292.02,293.63,0.42
1987-04-03,293.64,301.3,292.3,300.41,2.31
1987-04-06,300.46,302.21,300.41,301.95,0.51
1987-04-07,301.94,303.65,296.67,296.69,-1.74
1987-04-08,296.72,299.2,295.18,297.26,0.19
1987-04-09,297.25,297.71,291.5,292.86,-1.48
1987-04-10,292.82,293.74,290.94,292.49,-0.13
1987-04-13,292.48,293.36,285.62,285.62,-2.35
1987-04-14,285.61,285.62,275.67,279.16,-2.26
1987-04-15,279.17,285.14,279.16,284.44,1.89
1987-04-16,284.45,289.57,284.44,286.91,0.87
1987-04-20,286.91,288.36,284.55,286.09,-0.29
1987-04-21,285.88,293.07,282.89,293.07,2.44
1987-04-22,293.05,293.46,286.98,287.19,-2.01
1987-04-23,287.19,289.12,284.28,286.82,-0.13
1987-04-24,286.81,286.82,281.18,281.52,-1.85
1987-04-27,281.52,284.45,276.22,281.83,0.11
1987-04-28,281.83,285.95,281.83,282.51,0.24
1987-04-29,282.58,286.42,282.51,284.57,0.73
1987-04-30,284.58,290.08,284.57,288.36,1.33
1987-05-01,286.99,289.71,286.52,288.03,-0.11
1987-05-04,288.02,289.99,286.39,289.36,0.46
1987-05-05,289.36,295.4,289.34,295.34,2.07
1987-05-06,295.35,296.19,293.6,295.47,0.04
1987-05-07,295.45,296.8,294.07,294.71,-0.26
1987-05-08,294.73,296.18,291.73,293.37,-0.45
1987-05-11,293.37,298.69,291.55,291.57,-0.61
1987-05-12,291.57,293.3,290.18,293.3,0.59
1987-05-13,293.31,294.54,290.74,293.98,0.23
1987-05-14,293.98,295.1,292.95,294.24,0.09
1987-05-15,294.23,294.24,287.11,287.43,-2.31
1987-05-18,287.43,287.43,282.57,286.65,-0.27
1987-05-19,286.66,287.39,278.83,279.62,-2.45
1987-05-20,279.62,280.89,277.01,278.21,-0.5
1987-05-21,278.23,282.31,278.21,280.17,0.7
1987-05-22,280.17,283.33,280.17,282.16,0.71
1987-05-26,282.16,289.11,282.16,289.11,2.46
1987-05-27,289.07,290.78,288.19,288.73,-0.13
1987-05-28,288.73,291.5,286.33,290.76,0.7
1987-05-29,290.77,292.87,289.7,290.1,-0.23
1987-06-01,290.12,291.96,289.23,289.83,-0.09
1987-06-02,289.82,290.94,286.93,288.46,-0.47
1987-06-03,288.56,293.47,288.46,293.47,1.74
1987-06-04,293.46,295.1,292.76,295.09,0.55
1987-06-05,295.11,295.11,292.8,293.45,-0.56
1987-06-08,293.46,297.03,291.55,296.72,1.11
1987-06-09,296.72,297.59,295.9,297.28,0.19
1987-06-10,297.28,300.81,295.66,297.47,0.06
1987-06-11,297.5,298.94,297.47,298.73,0.42
1987-06-12,298.77,302.26,298.73,301.62,0.97
1987-06-15,301.62,304.11,301.62,303.14,0.5
1987-06-16,303.12,304.86,302.6,304.76,0.53
1987-06-17,304.77,305.74,304.03,304.81,0.02
1987-06-18,304.78,306.13,303.88,305.69,0.29
1987-06-19,305.71,306.97,305.55,306.97,0.42
1987-06-22,306.98,310.2,306.97,309.65,0.87
1987-06-23,309.66,310.27,307.48,308.43,-0.39
1987-06-24,308.44,308.91,306.32,306.86,-0.51
1987-06-25,306.87,309.44,306.86,308.96,0.68
1987-06-26,308.94,308.96,306.36,307.16,-0.58
1987-06-29,307.15,308.15,306.75,307.9,0.24
1987-06-30,307.89,308.0,303.01,304.0,-1.27
1987-07-01,303.99,304.0,302.53,302.94,-0.35
1987-07-02,302.96,306.34,302.94,305.63,0.89
1987-07-06,305.64,306.75,304.23,304.92,-0.23
1987-07-07,304.91,308.63,304.73,307.4,0.81
1987-07-08,307.41,308.48,306.01,308.29,0.29
1987-07-09,308.3,309.56,307.42,307.52,-0.25
1987-07-10,307.55,308.4,306.96,308.37,0.28
1987-07-13,308.41,308.41,305.49,307.63,-0.24
1987-07-14,307.67,310.69,307.46,310.68,0.99
1987-07-15,310.67,312.08,309.07,310.42,-0.08
1987-07-16,311.0,312.83,310.42,312.7,0.73
1987-07-17,312.71,314.59,312.38,314.59,0.6
1987-07-20,314.56,314.59,311.24,311.39,-1.02
1987-07-21,311.36,312.41,307.51,308.55,-0.91
1987-07-22,308.56,309.12,307.22,308.47,-0.03
1987-07-23,308.5,309.63,306.1,307.81,-0.21
1987-07-24,307.82,309.28,307.78,309.27,0.47
1987-07-27,309.3,310.7,308.61,310.65,0.45
1987-07-28,310.65,312.33,310.28,312.33,0.54
1987-07-29,312.34,315.65,311.73,315.65,1.06
1987-07-30,315.69,318.53,315.65,318.05,0.76
1987-07-31,318.05,318.85,317.56,318.66,0.19
1987-08-03,318.62,320.26,316.52,317.57,-0.34
1987-08-04,317.59,318.25,314.51,316.23,-0.42
1987-08-05,316.25,319.74,316.23,318.45,0.7
1987-08-06,318.49,322.09,317.5,322.09,1.14
1987-08-07,322.1,324.15,321.82,323.0,0.28
1987-08-10,322.98,328.0,322.95,328.0,1.55
1987-08-11,328.02,333.4,328.0,333.33,1.63
1987-08-12,333.32,334.57,331.06,332.39,-0.28
1987-08-13,332.38,335.52,332.38,334.65,0.68
1987-08-14,334.63,336.08,332.99,333.99,-0.2
1987-08-17,333.98,335.43,332.88,334.11,0.04
1987-08-18,334.1,334.11,326.43,329.25,-1.45
1987-08-19,329.26,329.89,326.54,329.83,0.18
1987-08-20,331.49,335.19,329.83,334.84,1.52
1987-08-21,334.85,336.37,334.3,335.9,0.32
1987-08-24,335.89,335.9,331.92,333.33,-0.77
1987-08-25,333.37,337.89,333.33,336.77,1.03
1987-08-26,336.77,337.39,334.46,334.57,-0.65
1987-08-27,334.56,334.57,331.1,331.38,-0.95
1987-08-28,331.37,331.38,327.03,327.04,-1.31
1987-08-31,327.03,330.09,326.99,329.8,0.84
1987-09-01,329.81,332.18,322.83,323.4,-1.94
1987-09-02,323.4,324.53,318.76,321.68,-0.53
1987-09-03,321.47,324.29,317.39,320.21,-0.46
1987-09-04,320.21,322.03,316.53,316.7,-1.1
1987-09-08,316.68,316.7,308.56,313.56,-0.99
1987-09-09,313.6,315.41,312.29,313.92,0.11
1987-09-10,313.92,317.59,313.92,317.13,1.02
1987-09-11,317.14,322.45,317.13,321.98,1.53
1987-09-14,322.02,323.81,320.4,323.08,0.34
1987-09-15,323.07,323.08,317.63,317.74,-1.65
1987-09-16,317.75,319.5,314.61,314.86,-0.91
1987-09-17,314.94,316.08,313.45,314.93,0.02
1987-09-18,314.98,316.99,314.86,314.86,-0.02
1987-09-21,314.92,317.66,310.12,310.54,-1.37
1987-09-22,310.54,319.51,308.69,319.5,2.89
1987-09-23,319.49,321.83,319.12,321.19,0.53
